department department,Equipment Class,Equipment Count
board of elections,Van,1
board of elections,Off Road Vehicle Equipment,2
circuit court,SUV,1
community engagement cluster,Pick Up Trucks,8
community engagement cluster,Off Road Vehicle Equipment,7
community engagement cluster,SUV,2
community use of public facilities,Sedan,1
consumer protection,Sedan,1
correction and rehabilitation,Off Road Vehicle Equipment,3
correction and rehabilitation,Public Safety Sedan,1
correction and rehabilitation,Public Safety SUV,2
correction and rehabilitation,SUV,3
correction and rehabilitation,Pick Up Trucks,1
correction and rehabilitation,Van,8
correction and rehabilitation,Sedan,10
correction and rehabilitation,CUV,1
county executives office,Sedan,2
county executives office,Public Safety SUV,3
economic development,SUV,1
environmental protection,SUV,18
environmental protection,Sedan,15
environmental protection,Van,3
environmental protection,CUV,1
environmental protection,Medium Duty,2
environmental protection,Pick Up Trucks,33
finance ,Sedan,3
fire and rescue,Public Safety SUV,27
fire and rescue,Public Safety Pick Up Trucks,12
fire and rescue,Public Safety Sedan,18
fire and rescue,Public Safety Van,11
fire and rescue,SUV,6
fire and rescue,Van,4
fire and rescue,Off Road Vehicle Equipment,2
fire and rescue,Pick Up Trucks,12
fire and rescue,Sedan,1
fire and rescue,Public Safety CUV,4
fire and rescue,Public Safety Heavy Duty,1
fire and rescue,Heavy Duty,1
fire and rescue,Transit Bus,1
general services,Public Safety Van,1
general services,SUV,21
general services,Public Safety Heavy Duty,1
general services,Off Road Vehicle Equipment,45
general services,Sedan,31
general services,Medium Duty,3
general services,Van,42
general services,CUV,5
general services,Heavy Duty,5
general services,Pick Up Trucks,48
health and human services,CUV,5
health and human services,Van,15
health and human services,Public Safety SUV,1
health and human services,Sedan,75
